onset	duration	genre	track	start	end
0	15	'reggae'	24	9.52	24.52
15	15	'classical'	81	14.84	29.84
30	15	'reggae'	95	2.96	17.96
45	15	'metal'	84	12.57	27.57
60	15	'rock'	89	0.35	15.35
75	15	'hiphop'	77	6.63	21.63
90	15	'pop'	60	5.48	20.48
105	15	'disco'	15	7.56	22.56
120	15	'jazz'	13	8.54	23.54
135	15	'country'	15	6.73	21.73
150	15	'blues'	50	8.38	23.38
165	15	'country'	26	14.1	29.1
180	15	'classical'	53	7.25	22.25
195	15	'pop'	71	14.5	29.5
210	15	'disco'	73	8.82	23.82
225	15	'hiphop'	47	13.36	28.36
240	15	'blues'	15	13.69	28.69
255	15	'rock'	38	11.52	26.52
270	15	'reggae'	32	13.57	28.57
285	15	'metal'	2	9.31	24.31
300	15	'jazz'	93	4.8	19.8
315	15	'pop'	85	14.98	29.98
330	15	'rock'	41	4.21	19.21
345	15	'blues'	63	4.45	19.45
360	15	'metal'	65	1.11	16.11
375	15	'reggae'	65	10.97	25.97
390	15	'country'	56	3.64	18.64
405	15	'jazz'	36	12.26	27.26
420	15	'disco'	2	9.31	24.31
435	15	'hiphop'	67	13.37	28.37
450	15	'classical'	35	7.57	22.57
465	15	'rock'	99	14.6	29.6
480	15	'pop'	49	9.59	24.58
495	15	'reggae'	41	5.25	20.25
510	15	'classical'	5	6.53	21.53
525	15	'jazz'	86	6.31	21.31
540	15	'blues'	60	7.38	22.38
555	15	'country'	20	1.08	16.08
570	15	'hiphop'	88	9.34	24.34
585	15	'metal'	32	6.91	21.91
600	15	'disco'	9	4.21	19.21
